listing_id,city,neighborhood,property_type,bedrooms,bathrooms,sqft,year_built,garage_spaces,has_pool,hoa_monthly_fee,list_price,zestimate,price_per_sqft,days_on_market,list_year
ZL100117,"Boston, MA",Hyde Park,Townhouse,4,2.5,1819,1998.0,1,0,352.0,637977,590344,350.73,3,2021
ZL100118,"Boston, MA",Jamaica Plain,Condo,4,1.5,2106,1995.0,1,0,0.0,923367,949885,438.45,20,2023
ZL100119,"Boston, MA",South Boston,Townhouse,1,3.0,1608,1983.0,3,0,0.0,844858,750023,525.41,13,2022
ZL100120,"Boston, MA",Hyde Park,Single Family,1,2.0,1121,2021.0,1,0,0.0,536620,544240,478.7,1,2023
ZL100121,"Boston, MA",Hyde Park,Condo,4,1.0,1764,2001.0,1,1,252.0,569421,543659,322.8,12,2021
ZL100122,"Boston, MA",Back Bay,Condo,2,3.0,1122,2005.0,2,0,0.0,789379,770201,703.55,79,2023
ZL100123,"Boston, MA",Roxbury,Multi-Family,2,2.0,1807,2004.0,2,0,566.0,1207658,1253081,668.32,6,2024
ZL100124,"Boston, MA",Dorchester,Condo,3,2.5,1615,,2,0,440.0,599131,637062,370.98,2,2023
ZL100125,"Boston, MA",South End,Townhouse,2,2.0,1468,2022.0,0,0,0.0,1127711,1199345,768.2,18,2023
ZL100126,"Boston, MA",East Boston,Townhouse,2,3.0,942,2015.0,2,0,0.0,484049,493434,513.85,23,2023
ZL100127,"Boston, MA",West Roxbury,Multi-Family,2,4.0,1188,1974.0,2,0,0.0,624937,635525,526.04,13,2022
ZL100128,"Boston, MA",Mattapan,Condo,2,3.0,1497,1968.0,1,0,0.0,361706,365626,241.62,39,2021
ZL100129,"Boston, MA",Charlestown,Condo,4,2.0,1896,1993.0,2,1,239.0,975221,1013944,514.36,5,2023
ZL100130,"Boston, MA",Allston/Brighton,Single Family,3,2.0,2005,2016.0,0,1,0.0,1258922,1282567,627.89,7,2024
ZL100131,"Boston, MA",Back Bay,Condo,4,2.0,1568,1993.0,3,0,442.0,850857,900002,542.64,32,2021
ZL100132,"Boston, MA",South Boston,Townhouse,3,1.5,1183,2018.0,3,0,0.0,685870,696521,579.77,11,2023
ZL100133,"Boston, MA",Allston/Brighton,Townhouse,5,2.5,1855,2005.0,1,0,,1045439,1067687,563.58,14,2023
ZL100134,"Boston, MA",Charlestown,Condo,2,2.0,1637,2019.0,1,1,317.0,1011884,982183,618.13,2,2022
ZL100135,"Boston, MA",South End,Single Family,4,3.0,1829,2017.0,1,0,576.0,1720015,1904918,940.41,13,2024
ZL100136,"Boston, MA",East Boston,Condo,3,3.0,1628,1970.0,2,1,,492426,510288,302.47,15,2022
ZL100137,"Boston, MA",East Boston,Multi-Family,2,2.0,1346,1999.0,2,0,0.0,807627,881226,600.02,14,2023
ZL100138,"Boston, MA",South End,Condo,4,2.5,1351,2021.0,2,0,232.0,808002,869448,598.08,3,2022
ZL100139,"Boston, MA",Fenway,Condo,3,2.0,1594,2020.0,3,1,,710960,736413,446.02,39,2023
ZL100140,"Boston, MA",Roslindale,Single Family,4,2.0,2089,2010.0,2,1,0.0,1021286,1042198,488.89,20,2021
ZL100141,"Boston, MA",Charlestown,Condo,1,2.5,1147,2020.0,3,0,,689771,707335,601.37,3,2023
ZL100142,"Boston, MA",Fenway,Condo,3,1.0,1649,1992.0,2,0,469.0,707075,680380,428.79,24,2023
ZL100143,"Boston, MA",Roslindale,Townhouse,4,3.5,1546,1998.0,2,0,0.0,557913,584051,360.88,21,2022
ZL100144,"Boston, MA",South Boston,Condo,2,1.0,1727,1992.0,1,0,0.0,932650,942792,540.04,12,2021
ZL100145,"Boston, MA",South End,Multi-Family,2,4.0,1689,2003.0,2,0,311.0,1343811,1335355,795.63,58,2021
ZL100146,"Boston, MA",South Boston,Single Family,5,2.0,2089,2017.0,3,0,158.0,1924958,2127688,921.47,8,2024
ZL100147,"Boston, MA",Roslindale,Condo,4,3.0,1368,1978.0,2,0,329.0,449358,462771,328.48,40,2023
ZL100148,"Boston, MA",Beacon Hill,Townhouse,3,2.0,1876,1999.0,3,0,113.0,1331838,1241882,709.93,4,2023
ZL100149,"Boston, MA",Hyde Park,Condo,1,3.0,1475,2000.0,2,0,0.0,436521,437025,295.95,31,2021
ZL100150,"Boston, MA",Jamaica Plain,Condo,3,2.5,1908,2014.0,1,0,0.0,886401,837306,464.57,69,2023
ZL100151,"Boston, MA",Fenway,Single Family,5,2.0,2270,,2,1,0.0,1628718,1699048,717.5,23,2024
ZL100152,"Boston, MA",Mattapan,Townhouse,4,2.0,1948,1974.0,2,1,596.0,778879,778052,399.84,33,2024
ZL100153,"Boston, MA",Jamaica Plain,Single Family,2,1.5,1179,2016.0,2,1,0.0,685629,691478,581.53,2,2024
ZL100154,"Boston, MA",Fenway,Condo,2,3.0,1361,2020.0,1,0,0.0,685890,674738,503.96,15,2022
ZL100155,"Boston, MA",Allston/Brighton,Multi-Family,3,3.0,1264,2004.0,1,0,0.0,629808,675170,498.27,6,2023
ZL100156,"Boston, MA",Fenway,Condo,2,1.5,1268,2014.0,2,0,145.0,601317,605880,474.22,1,2022
ZL100157,"Boston, MA",South Boston,Single Family,5,3.0,2255,1973.0,3,0,0.0,1592867,1660400,706.37,53,2023
ZL100158,"Boston, MA",Allston/Brighton,Condo,2,2.5,1530,2010.0,3,0,0.0,634944,634854,415.0,32,2024
ZL100159,"Boston, MA",Dorchester,Single Family,3,3.0,1367,1951.0,2,0,0.0,625570,592387,457.62,12,2024
ZL100160,"Boston, MA",Allston/Brighton,Condo,2,1.5,1718,1990.0,2,0,0.0,711537,714766,414.17,12,2023
ZL100161,"Boston, MA",Roxbury,Single Family,3,2.0,1532,2020.0,2,0,0.0,808414,811076,527.69,1,2024
ZL100162,"Boston, MA",Back Bay,Condo,4,2.0,1603,1973.0,0,0,0.0,977187,981168,609.6,19,2024
ZL100163,"Boston, MA",Back Bay,Condo,3,4.0,1997,2018.0,2,0,244.0,1239415,1251509,620.64,34,2021
ZL100164,"Boston, MA",Dorchester,Single Family,3,2.5,2141,2009.0,1,1,0.0,1138431,1196793,531.73,34,2023
ZL100165,"Boston, MA",Roslindale,Condo,2,3.0,1539,1985.0,3,0,291.0,521401,531127,338.79,14,2022
ZL100166,"Boston, MA",Fenway,Single Family,3,2.0,1435,2022.0,3,1,0.0,1157066,1091161,806.32,22,2024
ZL100167,"Boston, MA",Mattapan,Townhouse,4,2.0,1753,2022.0,2,0,0.0,590575,601492,336.89,13,2022
ZL100168,"Boston, MA",Charlestown,Townhouse,2,4.0,1376,2018.0,1,0,236.0,1034197,1057458,751.6,9,2024
ZL100169,"Boston, MA",Hyde Park,Condo,3,3.0,1714,1961.0,1,0,0.0,588493,557343,343.34,37,2024
ZL100170,"Boston, MA",Fenway,Condo,4,4.0,1483,2014.0,2,0,323.0,693455,727980,467.6,67,2024
ZL100171,"Boston, MA",South Boston,Multi-Family,5,1.0,1550,2017.0,2,0,0.0,1585851,1530983,1023.13,6,2024
ZL100172,"Boston, MA",Jamaica Plain,Multi-Family,4,2.0,1985,2019.0,1,0,161.0,1539262,1378919,775.45,6,2023
ZL100173,"Boston, MA",Charlestown,Townhouse,4,2.5,1869,1975.0,0,0,0.0,1013987,1026951,542.53,13,2024
ZL100174,"Boston, MA",Mattapan,Condo,2,2.0,1569,2013.0,1,0,0.0,522448,509562,332.98,13,2024
ZL100175,"Boston, MA",Jamaica Plain,Condo,4,2.5,1725,1975.0,1,0,0.0,757943,742646,439.39,1,2022
ZL100176,"Boston, MA",Fenway,Townhouse,4,1.5,2318,1994.0,2,0,247.0,1709171,1783517,737.35,39,2024
ZL100177,"Boston, MA",Roslindale,Single Family,2,2.0,1631,2023.0,3,0,0.0,1052758,1092238,645.47,19,2024
ZL100178,"Boston, MA",Jamaica Plain,Single Family,4,1.0,1440,2012.0,3,0,0.0,946940,907662,657.6,18,2024
ZL100179,"Boston, MA",South Boston,Condo,4,3.0,1807,2010.0,0,0,424.0,1147508,1121760,635.03,16,2023
ZL100180,"Boston, MA",Back Bay,Townhouse,1,2.5,939,1993.0,2,0,0.0,650331,632807,692.58,9,2023
ZL100181,"Boston, MA",Back Bay,Condo,2,4.0,1341,,2,1,387.0,950882,937175,709.08,34,2023
ZL100182,"Boston, MA",Dorchester,Multi-Family,2,2.5,1410,1979.0,2,0,0.0,777664,723306,551.53,6,2023
ZL100183,"Boston, MA",South Boston,Condo,1,1.0,1157,2022.0,2,0,0.0,671729,649891,580.58,22,2022
ZL100184,"Boston, MA",East Boston,Condo,2,2.5,1346,2006.0,2,0,117.0,576549,592722,428.34,26,2023
ZL100185,"Boston, MA",East Boston,Townhouse,2,3.0,1416,2001.0,2,1,,725117,715753,512.09,2,2023
ZL100186,"Boston, MA",East Boston,Condo,2,3.0,1489,1954.0,1,0,0.0,509123,480467,341.92,6,2022
ZL100187,"Boston, MA",Jamaica Plain,Condo,4,2.0,1727,2001.0,1,1,0.0,711555,749294,412.02,16,2022
ZL100188,"Boston, MA",Dorchester,Condo,2,3.5,1676,1999.0,2,0,0.0,657809,667883,392.49,7,2023
ZL100189,"Boston, MA",Hyde Park,Condo,2,2.5,1280,1996.0,2,1,0.0,497836,477792,388.93,1,2023
ZL100190,"Boston, MA",East Boston,Multi-Family,4,3.0,1737,1989.0,2,0,0.0,938542,942697,540.32,16,2022
ZL100191,"Boston, MA",Hyde Park,Condo,2,2.0,1431,1983.0,2,1,125.0,444300,462660,310.48,17,2022
ZL100192,"Boston, MA",East Boston,Single Family,3,1.5,1350,1972.0,2,1,0.0,666381,611435,493.62,1,2022
ZL100193,"Boston, MA",West Roxbury,Single Family,3,2.5,1747,1972.0,1,0,431.0,797391,781132,456.43,7,2022
ZL100194,"Boston, MA",Jamaica Plain,Condo,3,3.0,1392,2002.0,2,0,254.0,667299,687522,479.38,45,2023
ZL100195,"Boston, MA",Dorchester,Single Family,4,3.0,1818,2015.0,2,0,590.0,1062348,1119049,584.35,43,2024
ZL100196,"Boston, MA",Back Bay,Townhouse,3,3.0,1700,,2,0,0.0,1272181,1270307,748.34,35,2022
ZL100197,"Boston, MA",Fenway,Condo,1,2.0,1140,1978.0,2,0,0.0,514145,538413,451.0,89,2023
ZL100198,"Boston, MA",Jamaica Plain,Single Family,3,2.5,1388,1994.0,3,0,111.0,808411,855175,582.43,10,2021
ZL100199,"Boston, MA",Back Bay,Condo,3,2.5,1262,2003.0,1,0,0.0,859798,886391,681.3,1,2022
ZL100200,"Boston, MA",South Boston,Townhouse,3,2.5,1657,2008.0,2,0,569.0,1144417,1162251,690.66,15,2022
ZL100201,"Boston, MA",Allston/Brighton,Townhouse,3,2.5,1302,1973.0,2,0,244.0,585823,584399,449.94,13,2023
ZL100202,"Boston, MA",Fenway,Single Family,3,2.0,1228,2010.0,2,0,389.0,910279,886922,741.27,34,2024
ZL100203,"Boston, MA",Fenway,Condo,4,3.0,1933,2008.0,2,1,504.0,988684,1044861,511.48,5,2024
ZL100204,"Boston, MA",Fenway,Condo,1,1.5,1379,2018.0,0,0,0.0,785541,796031,569.65,7,2024
ZL100205,"Boston, MA",Fenway,Single Family,4,2.5,2177,2014.0,2,1,0.0,1310303,1367483,601.88,19,2021
ZL100206,"Boston, MA",Allston/Brighton,Townhouse,2,2.5,1663,1994.0,2,0,0.0,730223,730413,439.1,22,2022
ZL100207,"Boston, MA",Charlestown,Multi-Family,2,3.5,1578,2008.0,2,1,0.0,1205239,1207846,763.78,2,2021
ZL100208,"Boston, MA",Roxbury,Condo,5,1.0,1985,1999.0,2,1,0.0,609054,568741,306.83,54,2023
ZL100209,"Boston, MA",Roxbury,Condo,1,1.0,1324,1997.0,2,0,94.0,421560,425965,318.4,48,2021
ZL100210,"Boston, MA",Roslindale,Multi-Family,2,2.0,1572,2007.0,2,0,0.0,878814,871577,559.04,63,2023
ZL100211,"Boston, MA",Beacon Hill,Condo,2,1.5,1213,1977.0,2,0,0.0,624035,636002,514.46,8,2021
ZL100212,"Boston, MA",Charlestown,Townhouse,1,2.0,1095,1992.0,0,0,424.0,753531,721303,688.16,4,2024
ZL100213,"Boston, MA",Charlestown,Condo,1,1.5,1281,2019.0,1,0,138.0,742838,748460,579.89,28,2023
ZL100214,"Boston, MA",West Roxbury,Condo,3,3.0,1313,2001.0,2,1,0.0,548753,542071,417.94,15,2023
ZL100215,"Boston, MA",Dorchester,Multi-Family,4,3.0,1880,2002.0,3,1,0.0,1182099,1183910,628.78,12,2023
ZL100216,"Boston, MA",Fenway,Condo,2,3.0,1495,2022.0,1,1,436.0,756277,793735,505.87,4,2023
ZL100217,"Boston, MA",Mattapan,Single Family,2,2.5,1180,2003.0,0,0,0.0,550449,580521,466.48,21,2023
ZL100218,"Boston, MA",South End,Condo,4,1.0,1585,1984.0,2,1,321.0,903943,906834,570.31,14,2024
ZL100219,"Boston, MA",Jamaica Plain,Townhouse,3,3.0,2012,2014.0,2,1,520.0,888528,911754,441.61,25,2021
ZL100220,"Boston, MA",South Boston,Multi-Family,4,3.0,1658,2000.0,1,1,0.0,1413533,1388088,852.55,55,2024
